fiscal_id;first_name;last_name;gender;fecha_nacimiento;fecha_vencimiento;deuda;direccion;altura;peso;correo;estatus_contacto;prioridad;telefono
41004973-2;Benjamin;Conley;male;1990-02-24;2021-03-08;978;Ap #601-954 Phasellus Rd.;6;147;lobortis.mauris.Suspendisse@est.co.uk;Valido;1;9258041104
8385026-4;Irene;Compton;female;1995-10-18;2021-01-17;441;6585 Ut Road;9;136;Mauris.vestibulum.neque@eleifendCras.edu;Valido;2;9190099847
22691571-0;Shea;Miller;female;1999-04-09;2021-02-26;539;P.O. Box 693, 3921 Nunc Rd.;6;182;sem@nunc.org;Valido;2;9335044087
10362113-5;Lewis;Foreman;male;1991-01-08;2021-02-13;635;P.O. Box 556, 9887 Ultrices St.;1;49;diam.at.pretium@Sed.co.uk;Valido;1;9679724418
25357505-0;Kalia;Cardenas;male;1994-11-18;2021-01-25;540;P.O. Box 116, 7435 Auctor. Ave;6;191;amet@sociosquad.com;Invalido;3;9822147704
37727249-8;Davis;Wilson;female;1992-05-28;2021-02-19;611;P.O. Box 286, 6444 Consectetuer Rd.;9;35;Sed.et.libero@risusatfringilla.com;Invalido;2;9821431342
35362932-8;Dominic;Olson;female;1992-09-28;2021-01-29;497;7149 Proin Road;2;168;nec.leo@diamlorem.edu;Invalido;3;9829452369
6391320-0;Allen;Lloyd;male;1997-01-06;2021-02-11;347;850-4364 Nonummy St.;3;50;ipsum@tempor.ca;Valido;2;9172127076
40531798-2;Samuel;Nguyen;male;1990-07-16;2021-02-06;431;124-9690 In, Rd.;8;128;velit.eget.laoreet@congue.ca;Invalido;1;9965708094
43287462-1;Darrel;Soto;female;1993-05-13;2021-01-26;960;P.O. Box 728, 9033 Nisi Av.;3;37;cursus.a.enim@dictumPhasellusin.ca;Invalido;1;9323860850
5487747-1;David;Wood;female;1993-03-07;2021-05-08;796;206-698 Facilisis Rd.;1;179;Duis.sit.amet@Aeneaneuismodmauris.org;Invalido;3;9592433849
44399122-0;Salvador;Brock;male;1994-07-22;2021-03-05;347;7945 Quisque Rd.;3;83;est.Mauris.eu@vitaeodiosagittis.edu;Valido;3;9572703383
6415381-1;Reece;Crane;male;1997-11-17;2021-04-29;871;8473 Justo. Ave;8;116;arcu.iaculis@neque.ca;Valido;1;9415198517
40443043-2;Kasper;Jackson;female;1990-01-05;2021-05-11;768;9451 Faucibus Road;3;93;molestie.in.tempus@ultriciesornare.org;Valido;3;9600228652
38412945-5;Anne;Reed;female;1997-05-13;2021-01-25;120;P.O. Box 758, 7728 Est Rd.;9;159;neque@pellentesque.edu;Invalido;3;9661292387
19843725-5;India;Mcgowan;male;1998-07-19;2021-02-08;415;113-8873 Nibh. Ave;8;141;Praesent@quam.co.uk;Invalido;3;9055962758
11468372-8;Maxine;Heath;male;1994-02-07;2021-05-06;210;657-3280 Arcu. Avenue;2;168;lectus@aenim.edu;Invalido;3;9717473224
45399044-3;Madonna;Richard;female;1993-06-23;2021-01-22;171;963-1023 Quam Rd.;8;54;sed.consequat.auctor@etmalesuada.ca;Valido;2;9603094774
47128577-3;Anthony;Murphy;female;1996-12-15;2021-05-11;304;1598 Fermentum St.;9;178;;;;
15224127-5;Channing;Gallegos;male;1994-04-22;2021-02-15;811;P.O. Box 517, 5746 Egestas. Street;2;193;;;;
22122985-1;Isaiah;Webster;male;1998-10-11;2021-01-19;655;178-2557 Arcu. Avenue;5;191;;;;
48825804-4;Kaseem;Houston;female;1999-12-12;2021-04-22;800;5747 Mauris Av.;7;199;;;;
7791076-K;Hayley;Nicholson;female;1994-03-25;2021-03-10;898;Ap #483-3029 Placerat. Rd.;5;196;;;;
9664417-5;Joelle;Clemons;male;1995-09-09;2021-05-01;91;2403 Lacus. St.;4;75;;;;
37732660-1;Leah;Bush;male;1996-04-25;2021-03-06;462;P.O. Box 920, 604 Aenean Av.;8;61;;;;
38062614-4;Tatiana;Cervantes;female;1993-01-11;2021-02-09;325;P.O. Box 286, 8529 Risus. St.;6;188;;;;
34084266-9;Selma;Lowery;female;1993-07-16;2021-02-10;598;737-5326 Amet Av.;2;60;;;;
43684610-K;Eugenia;Goff;male;1991-08-24;2021-03-23;916;219-881 Nec, Avenue;5;176;;;;
45565314-2;Fletcher;Boone;male;1998-07-02;2021-05-11;278;467-3332 Erat, St.;5;145;;;;
32121127-5;Harding;Randall;female;1996-09-22;2021-04-11;507;Ap #350-1415 Venenatis St.;8;195;lacinia.mattis@risus.co.uk;Valido;3;946124538
7431394-9;Gisela;Carey;female;1997-05-02;2021-02-05;911;P.O. Box 964, 7936 Lorem Ave;4;66;mauris@commodo.edu;Valido;3;962835607
8374036-1;Noah;Best;male;1993-06-02;2021-01-09;668;Ap #405-4291 Praesent Road;7;57;nec.diam@Morbineque.net;Invalido;1;941343801
25701141-0;Dai;Salas;male;1998-07-27;2021-01-13;903;426-4969 Nulla St.;8;159;Nam.ac.nulla@eu.co.uk;Invalido;3;935450839
48446018-3;Denise;Weiss;female;1995-03-02;2021-01-22;644;P.O. Box 106, 5356 Libero. Road;9;135;eleifend.nec.malesuada@semegestas.org;Valido;2;975093395
38129454-4;Igor;Hester;female;1996-06-07;2021-03-01;219;2498 Sapien. Avenue;7;161;vel@tellussemmollis.net;Invalido;2;997885213
36941654-5;Avram;Le;male;1990-03-19;2021-04-27;326;3958 Malesuada St.;7;59;nibh@ac.co.uk;Valido;1;906095226
24885406-5;Hamish;Browning;male;1997-02-26;2021-02-12;804;613-9004 Odio St.;8;34;lorem.ipsum.sodales@molestie.ca;Invalido;1;925184794
50071573-1;Amela;Page;female;1997-10-02;2021-03-16;178;946-6480 Facilisis Rd.;10;120;Phasellus.at.augue@facilisis.net;Valido;3;953734712
38865045-1;Abraham;Whitehead;female;1991-04-20;2021-03-16;704;4380 Amet Rd.;10;37;Nulla@Fuscemollis.edu;Invalido;1;984379019
14917446-K;Craig;Heath;male;1998-04-16;2021-02-20;823;816-9720 Id Avenue;3;172;tellus.Nunc.lectus@molestiearcu.net;Valido;1;909814072
28255721-5;Nash;Boyd;male;1993-11-18;2021-05-09;808;681-8614 Habitant St.;10;188;tempus.risus.Donec@semut.edu;Invalido;2;954547724
30505435-6;Ferris;Byers;female;1997-06-02;2021-04-27;336;8565 Libero. Ave;10;170;consequat.enim@dapibusligula.edu;Valido;3;974722376
29499978-7;Blake;Blackwell;female;1990-08-12;2021-04-05;210;233 Nunc Rd.;5;76;velit.egestas.lacinia@Sedetlibero.ca;Invalido;1;946033879
40395438-1;Herman;Bauer;male;1993-03-25;2021-04-06;97;P.O. Box 997, 7436 Duis Avenue;10;178;nec@lobortisnisi.co.uk;Invalido;2;957670956
46697544-3;Alisa;Warren;male;1992-03-15;2021-02-10;663;Ap #291-8093 Egestas St.;7;31;Vivamus.non@infaucibusorci.ca;Valido;1;921846698
22250059-1;Jaime;Terry;female;1993-12-27;2021-05-03;834;P.O. Box 987, 7882 Elit, Rd.;6;142;litora.torquent@erat.org;Invalido;3;972444328
16276978-2;Lars;Mathis;female;1995-03-27;2021-02-06;619;618-2810 Dignissim Ave;6;117;semper.tellus.id@variusultrices.net;Valido;3;924639024
15126425-5;Otto;Ferrell;male;1990-02-18;2021-02-09;266;Ap #164-2510 Eget Rd.;3;71;nostra.per@Cras.com;Invalido;2;993612937
15654665-8;Garth;Levine;male;1997-02-24;2021-03-06;8;4590 A Road;3;160;cursus.non@tempusscelerisque.org;Valido;1;939812052
15950588-K;Cheryl;Sampson;female;1994-02-10;2021-02-18;114;5115 At Av.;10;79;et@lobortis.co.uk;Invalido;3;961628535
16005776-9;Jarrod;Joseph;female;1990-01-19;2021-03-01;36;4123 Nisi. Avenue;4;89;ultricies.ligula.Nullam@CraspellentesqueSed.org;Valido;1;993281701
43362223-5;Barry;Macdonald;male;1994-09-01;2021-02-17;654;6645 Vehicula Rd.;7;161;mattis.Integer.eu@Pellentesquehabitantmorbi.co.uk;Valido;2;928202868
38286287-2;Penelope;Odom;male;1996-09-25;2021-03-02;206;9523 Et Rd.;4;90;luctus.et@velitegestaslacinia.org;Invalido;2;984846103
25926760-9;Garrett;Love;female;1997-07-01;2021-01-25;269;P.O. Box 635, 7315 Lorem Avenue;8;117;Cras.sed@necurna.co.uk;Invalido;3;933349956
32487402-K;Wesley;Bryan;female;1995-10-10;2021-02-10;961;P.O. Box 980, 4966 Lacinia Rd.;10;54;sapien.imperdiet.ornare@inhendrerit.com;Valido;2;931589108
15637115-7;Philip;Stone;male;1999-12-20;2021-03-23;609;Ap #337-5063 Elit, Av.;6;118;justo.eu.arcu@odiovel.ca;Invalido;2;905424321
15340241-8;Blossom;Silva;male;1995-04-06;2021-01-23;515;P.O. Box 614, 7997 Lacus. Street;5;90;augue@enimSuspendisse.co.uk;Invalido;1;906470535
14864295-8;Shellie;Strong;female;1990-11-15;2021-02-07;763;935-3085 Aliquam Av.;8;46;in.faucibus.orci@Phasellusnulla.net;Invalido;1;998569462
20609748-5;Uma;Flynn;female;1996-01-26;2021-02-18;308;Ap #528-8676 Nunc Avenue;2;42;lacus@sociisnatoque.org;Valido;2;962403986
34033459-0;Travis;Porter;male;1991-08-04;2021-05-07;538;768-1877 Placerat, Avenue;10;67;ultricies.adipiscing.enim@viverraMaecenas.co.uk;Invalido;3;989305757
29282543-9;Christian;Young;male;1991-07-05;2021-03-30;684;Ap #279-3143 Rhoncus. Rd.;1;52;Sed@magnaPhasellus.ca;Valido;3;995179807
12546161-1;MacKenzie;Chavez;female;1990-11-13;2021-03-13;999;Ap #413-9237 Vitae Street;10;112;ultrices.Vivamus@ullamcorpermagna.edu;Valido;1;933230994
38158303-1;Paul;Rodriquez;female;1997-07-01;2021-01-18;268;Ap #509-2596 Pellentesque Rd.;10;66;adipiscing.elit@mus.org;Valido;1;942059266
30694909-8;Lewis;Good;male;1990-06-17;2021-01-14;554;513-1604 Lorem Rd.;2;184;facilisis.facilisis@mattis.com;Invalido;2;955258299
50937327-2;Ruby;Conway;male;1995-09-12;2021-02-01;473;Ap #121-4481 Eros Av.;2;194;Etiam.vestibulum@ornareegestasligula.com;Invalido;3;977436473
14664696-4;Uma;Bennett;female;1997-01-03;2021-01-10;825;3271 Sem Av.;9;34;diam@Sednulla.co.uk;Invalido;2;
20912743-1;Upton;Duran;female;1996-08-22;2021-03-13;364;Ap #617-788 Turpis Road;10;60;diam.lorem.auctor@parturientmontes.co.uk;Valido;1;
9239835-8;Mechelle;Brewer;male;1998-06-15;2021-02-03;991;1496 Proin Rd.;7;166;ultrices@pellentesquemassalobortis.com;Valido;3;
26656637-9;Tamara;Morse;male;1997-06-01;2021-05-03;586;284-5744 Libero Av.;3;119;sed.pede@ut.co.uk;Valido;2;
50379828-K;Hyatt;Lewis;female;1991-10-15;2021-01-22;943;959-4753 Id, Av.;2;49;libero@ipsumdolor.com;Valido;2;
23917593-7;Linus;Dyer;female;1997-07-28;2021-03-12;987;P.O. Box 129, 1497 Venenatis Av.;7;71;id.erat@etnuncQuisque.com;Invalido;1;
26236122-5;Meredith;Fox;male;1991-12-12;2021-03-20;311;P.O. Box 509, 2604 Integer Rd.;4;101;nibh.sit@est.edu;Valido;3;
38634519-8;Jacob;Harvey;male;1996-09-11;2021-04-26;160;Ap #648-7372 Mauris St.;10;61;fermentum.convallis@lobortisnisi.com;Invalido;3;
17468687-4;Zelenia;Eaton;female;1995-06-05;2021-01-29;659;Ap #832-113 Sed Road;5;141;lacus@facilisis.co.uk;Invalido;2;
35042400-8;Kieran;Parker;female;1991-06-18;2021-02-08;124;P.O. Box 102, 4994 Nec, Ave;10;125;turpis@Duis.com;Valido;2;
36212257-0;Ryder;Kramer;male;1998-04-04;2021-04-12;59;Ap #623-7324 Tincidunt St.;1;185;accumsan@idmollisnec.edu;Valido;3;
17489326-8;Harriet;Levy;male;1992-11-26;2021-01-12;713;Ap #592-8548 Sit Road;6;76;ac@enim.edu;Valido;2;
22296384-2;Quincy;Buckner;female;1999-12-17;2021-03-29;268;918-8234 Nonummy Road;9;80;senectus@enimSed.co.uk;Invalido;1;
11732697-7;Tarik;Chavez;female;1991-12-08;2021-01-31;838;9238 Aliquam Street;10;81;aliquet@Etiam.net;Valido;3;
48815098-7;Winter;Mccarthy;male;1999-01-26;2021-02-12;415;9778 Ante. Ave;3;88;ornare.egestas.ligula@metusfacilisis.co.uk;Invalido;2;
49977411-7;Ariel;Gibbs;male;1998-09-15;2021-01-17;506;P.O. Box 635, 4520 Faucibus Av.;3;65;Proin.sed.turpis@cursusInteger.com;Invalido;1;
34380386-9;Gareth;Rocha;female;1991-02-05;2021-02-25;157;456-9203 Lorem Rd.;6;143;sit.amet.ultricies@Donec.com;Valido;3;973436383
27503246-8;Michael;Frye;female;1991-11-23;2021-04-14;834;834 Etiam Rd.;3;118;vestibulum.neque@eu.ca;Invalido;2;921112944
38439737-9;Brennan;Shaffer;male;1998-08-20;2021-05-14;982;9673 Egestas, Street;8;50;ut@pellentesquemassalobortis.net;Invalido;3;974492741
19919208-6;Camille;Haney;male;1990-10-06;2021-01-16;928;3610 Auctor, Street;5;32;Aliquam.adipiscing@Vivamussitamet.com;Valido;3;922829971
21611211-3;Devin;Buchanan;female;1998-08-24;2021-04-11;767;3541 Donec St.;4;42;varius.ultrices.mauris@dolornonummy.edu;Invalido;1;916414064
23778603-3;Basil;Green;female;1990-08-05;2021-04-12;550;5912 Lacinia Avenue;9;165;eget@Fuscediam.org;Invalido;3;999728049
37115308-K;Cameron;Owen;male;1992-11-18;2021-01-19;691;434-844 Mauris Av.;2;91;cursus.vestibulum@ligulaelit.ca;Valido;1;928198708
29725664-5;Brittany;Yates;male;1991-07-08;2021-04-20;497;808-7340 Fusce Road;9;45;cursus@semperdui.net;Valido;3;940784099
26223419-3;Aristotle;Butler;female;1999-07-24;2021-02-06;902;P.O. Box 403, 4183 Tellus Ave;10;62;consequat.enim@nibhdolor.edu;Invalido;1;964570002
10623969-K;Teagan;Mathews;female;1994-10-14;2021-01-21;433;P.O. Box 473, 3732 Fusce Street;5;175;pretium.aliquet.metus@Sed.ca;Valido;1;947122514
22858734-6;Vincent;Best;male;1999-02-05;2021-03-05;484;906-3074 Mi. St.;9;172;dictum.magna.Ut@Phaselluselit.ca;Invalido;1;961512368
18186013-8;Brock;Little;male;1991-04-24;2021-03-24;564;530-6594 Quisque Road;6;178;vel.vulputate.eu@acfeugiat.org;Valido;3;900684909
6373303-2;Dominic;Thomas;female;1993-02-19;2021-01-08;520;671-7030 Non St.;5;112;ornare@Inmi.edu;Invalido;3;922030282
21575299-2;Isabella;Christian;female;1995-02-13;2021-03-08;789;P.O. Box 433, 5994 Egestas Avenue;9;53;dapibus.quam@eteros.ca;Invalido;3;948488685
32129895-8;Teagan;Phelps;male;1998-11-19;2021-02-19;784;6937 Faucibus Rd.;4;98;dolor.nonummy@idmagnaet.com;Valido;3;967702453
29614528-9;Kennan;Richmond;male;1994-04-01;2021-03-12;280;397-5152 Quam. Rd.;9;80;Mauris.blandit.enim@liberoatauctor.co.uk;Invalido;2;972702528
5323303-1;Lyle;Ballard;female;1996-05-24;2021-04-28;887;416-9178 Velit. Rd.;10;45;velit.eget@nostraper.edu;Valido;3;983667348
13265245-7;Kelly;Kidd;female;1993-12-04;2021-02-09;487;P.O. Box 214, 9013 Urna Rd.;1;112;augue.porttitor.interdum@nectempusscelerisque.com;Invalido;3;961894434
13880218-3;Hadley;Sharpe;male;1998-11-29;2021-05-01;468;5942 Ultricies Ave;7;155;Duis@lectus.com;Valido;3;992419516
6232333-7;Kelly;Page;male;1994-03-27;2021-01-21;477;P.O. Box 262, 8031 Leo. St.;5;61;placerat.augue@augueeu.edu;Invalido;3;911510020
27523968-2;Wyatt;Daniel;female;1990-08-06;2021-05-09;704;P.O. Box 449, 263 Luctus Avenue;6;145;Vivamus.non.lorem@eleifendnon.ca;Valido;2;917498442
22649270-4;Yasir;Gould;female;1998-04-03;2021-03-24;37;394-2475 Nec, Road;8;164;mauris@faucibusidlibero.org;Valido;2;981021516
8595400-8;Aimee;Mann;male;1995-09-14;2021-03-09;848;Ap #387-2377 Justo. St.;10;62;mattis@at.ca;Valido;2;981833577
